Sr_No.,Date_of_Encashment,Name_of_Political_Party,Account_no.,Prefix,Bond_Number,Denominations,Pay_Branch_Code,Pay_Teller,Bond_number
117,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4297,10000000,691,3627829,OC4297
118,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5845,10000000,691,3627829,OC5845
119,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4307,10000000,691,3627829,OC4307
120,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4323,10000000,691,3627829,OC4323
121,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5859,10000000,691,3627829,OC5859
122,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5823,10000000,691,3627829,OC5823
123,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5856,10000000,691,3627829,OC5856
124,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5868,10000000,691,3627829,OC5868
125,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5870,10000000,691,3627829,OC5870
126,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5846,10000000,691,3627829,OC5846
127,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5866,10000000,691,3627829,OC5866
128,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5848,10000000,691,3627829,OC5848
129,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5852,10000000,691,3627829,OC5852
130,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5874,10000000,691,3627829,OC5874
131,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5872,10000000,691,3627829,OC5872
132,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5850,10000000,691,3627829,OC5850
133,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5858,10000000,691,3627829,OC5858
134,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5864,10000000,691,3627829,OC5864
135,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5862,10000000,691,3627829,OC5862
136,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5860,10000000,691,3627829,OC5860
137,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5854,10000000,691,3627829,OC5854
138,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5818,10000000,691,3627829,OC5818
139,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5840,10000000,691,3627829,OC5840
140,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5844,10000000,691,3627829,OC5844
141,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5836,10000000,691,3627829,OC5836
142,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5820,10000000,691,3627829,OC5820
143,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5828,10000000,691,3627829,OC5828
144,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5832,10000000,691,3627829,OC5832
145,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5842,10000000,691,3627829,OC5842
146,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5830,10000000,691,3627829,OC5830
147,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5834,10000000,691,3627829,OC5834
148,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5824,10000000,691,3627829,OC5824
149,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5822,10000000,691,3627829,OC5822
150,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5826,10000000,691,3627829,OC5826
151,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5838,10000000,691,3627829,OC5838
152,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5802,10000000,691,3627829,OC5802
153,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4342,10000000,691,3627829,OC4342
154,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4334,10000000,691,3627829,OC4334
155,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5804,10000000,691,3627829,OC5804
156,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4340,10000000,691,3627829,OC4340
157,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4348,10000000,691,3627829,OC4348
158,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4346,10000000,691,3627829,OC4346
159,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4330,10000000,691,3627829,OC4330
160,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4344,10000000,691,3627829,OC4344
161,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4338,10000000,691,3627829,OC4338
162,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4332,10000000,691,3627829,OC4332
163,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4336,10000000,691,3627829,OC4336
164,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5806,10000000,691,3627829,OC5806
165,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4350,10000000,691,3627829,OC4350
166,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6603,10000000,691,3627829,OC6603
167,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5886,10000000,691,3627829,OC5886
168,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5896,10000000,691,3627829,OC5896
169,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5890,10000000,691,3627829,OC5890
170,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5888,10000000,691,3627829,OC5888
171,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6609,10000000,691,3627829,OC6609
172,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5882,10000000,691,3627829,OC5882
173,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6607,10000000,691,3627829,OC6607
174,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6611,10000000,691,3627829,OC6611
175,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5892,10000000,691,3627829,OC5892
176,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5894,10000000,691,3627829,OC5894
177,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6605,10000000,691,3627829,OC6605
178,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5885,10000000,691,3627829,OC5885
179,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5871,10000000,691,3300196,OC5871
180,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5875,10000000,691,3627829,OC5875
181,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5873,10000000,691,3627829,OC5873
182,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,2588,10000000,691,3300196,OC2588
183,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,2793,10000000,691,3300196,OC2793
184,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,2810,10000000,691,3300196,OC2810
185,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4488,10000000,691,3300196,OC4488
186,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5148,10000000,691,3300196,OC5148
187,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4432,10000000,691,3300196,OC4432
188,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5173,10000000,691,3300196,OC5173
189,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5107,10000000,691,3300196,OC5107
190,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5101,10000000,691,3300196,OC5101
191,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5211,10000000,691,3300196,OC5211
192,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5102,10000000,691,3300196,OC5102
193,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5130,10000000,691,3300196,OC5130
194,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5149,10000000,691,3300196,OC5149
195,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5216,10000000,691,3300196,OC5216
196,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5213,10000000,691,3300196,OC5213
197,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5151,10000000,691,3300196,OC5151
198,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5215,10000000,691,3300196,OC5215
199,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5214,10000000,691,3300196,OC5214
200,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5103,10000000,691,3300196,OC5103
201,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5128,10000000,691,3300196,OC5128
202,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5105,10000000,691,3300196,OC5105
203,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5212,10000000,691,3300196,OC5212
204,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5126,10000000,691,3300196,OC5126
205,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5150,10000000,691,3300196,OC5150
206,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5142,10000000,691,3300196,OC5142
207,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5127,10000000,691,3300196,OC5127
208,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5144,10000000,691,3300196,OC5144
209,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5106,10000000,691,3300196,OC5106
210,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5123,10000000,691,3300196,OC5123
211,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5146,10000000,691,3300196,OC5146
212,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5147,10000000,691,3300196,OC5147
213,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5108,10000000,691,3300196,OC5108
214,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5124,10000000,691,3300196,OC5124
215,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5121,10000000,691,3300196,OC5121
216,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5143,10000000,691,3300196,OC5143
217,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5145,10000000,691,3300196,OC5145
218,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5109,10000000,691,3300196,OC5109
219,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5129,10000000,691,3300196,OC5129
220,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5104,10000000,691,3300196,OC5104
221,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5192,10000000,691,3627829,OC5192
222,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4433,10000000,691,3300196,OC4433
223,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5110,10000000,691,3300196,OC5110
224,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5122,10000000,691,3300196,OC5122
225,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,5125,10000000,691,3300196,OC5125
226,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,740,10000000,691,3300196,OC740
227,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,742,10000000,691,3300196,OC742
228,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,744,10000000,691,3300196,OC744
229,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6217,10000000,691,3300196,OC6217
230,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6221,10000000,691,3300196,OC6221
231,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6233,10000000,691,3300196,OC6233
232,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6241,10000000,691,3300196,OC6241
233,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6247,10000000,691,3300196,OC6247
234,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6214,10000000,691,3300196,OC6214
235,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6238,10000000,691,3300196,OC6238
236,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,4592,10000000,691,3300196,OC4592
237,4/12/2019 0:00,BHARATIYA JANATA PARTY,*******8244,OC,6203,10000000,691,3300196,OC6203
